order,short_name,display_name,filename,byte_start,byte_end
1,Genesis,Genesis,01-Genesis.txt,5158,230989
2,Exodus,Exodus,02-Exodus.txt,230989,415356
3,Leviticus,Leviticus,03-Leviticus.txt,415356,545607
4,Numbers,Numbers,04-Numbers.txt,545607,725012
5,Deuteronomy,Deuteronomy,05-Deuteronomy.txt,725012,883560
6,Josue,Josue,06-Josue.txt,883560,989499
7,Judges,Judges,07-Judges.txt,989499,1106019
8,Ruth,Ruth,08-Ruth.txt,1106019,1121625
9,1_Kings_Samuel,1. Kings / Samuel,09-1_Kings_Samuel.txt,1121625,1273013
10,2_Kings_Samuel,2. Kings / Samuel,10-2_Kings_Samuel.txt,1273013,1392307
11,3_Kings,3. Kings,11-3_Kings.txt,1392307,1536683
12,4_Kings,4. Kings,12-4_Kings.txt,1536683,1674005
13,1_Paralipomenon,1. Paralipomenon,13-1_Paralipomenon.txt,1674005,1795053
14,2_Paralipomenon,2. Paralipomenon,14-2_Paralipomenon.txt,1795053,1943065
15,1_Esdras,1. Esdras,15-1_Esdras.txt,1943065,1987140
16,2_Esdras_Nehemias,2. Esdras / Nehemias,16-2_Esdras_Nehemias.txt,1987140,2048937
17,Tobias,Tobias,17-Tobias.txt,2048937,2090944
18,Judith,Judith,18-Judith.txt,2090944,2147484
19,Esther,Esther,19-Esther.txt,2147484,2198804
20,Job,Job,20-Job.txt,2198804,2314608
21,Psalms,Psalms,21-Psalms.txt,2314608,2616482
22,Proverbs,Proverbs,22-Proverbs.txt,2616482,2710268
23,Ecclesiastes,Ecclesiastes,23-Ecclesiastes.txt,2710268,2744175
24,Canticle_of_Canticles,Canticle of Canticles,24-Canticle_of_Canticles.txt,2744175,2765738
25,Wisdom,Wisdom,25-Wisdom.txt,2765738,2831599
26,Ecclesiasticus,Ecclesiasticus,26-Ecclesiasticus.txt,2831599,3017655
27,Isaias,Isaias,27-Isaias.txt,3017655,3239728
28,Jeremias,Jeremias,28-Jeremias.txt,3239728,3490589
29,Lamentations,Lamentations,29-Lamentations.txt,3490589,3512063
30,Baruch,Baruch,30-Baruch.txt,3512063,3542808
31,Ezechiel,Ezechiel,31-Ezechiel.txt,3542808,3779844
32,Daniel,Daniel,32-Daniel.txt,3779844,3879912
33,Osee,Osee,33-Osee.txt,3879912,3915905
34,Joel,Joel,34-Joel.txt,3915905,3928972
35,Amos,Amos,35-Amos.txt,3928972,3955860
36,Abdias,Abdias,36-Abdias.txt,3955860,3960364
37,Jonas,Jonas,37-Jonas.txt,3960364,3969257
38,Micheas,Micheas,38-Micheas.txt,3969257,3994021
39,Nahum,Nahum,39-Nahum.txt,3994021,4003193
40,Habacuc,Habacuc,40-Habacuc.txt,4003193,4017406
41,Sophonias,Sophonias,41-Sophonias.txt,4017406,4028329
42,Aggeus,Aggeus,42-Aggeus.txt,4028329,4036153
43,Zacharias,Zacharias,43-Zacharias.txt,4036153,4082924
44,Malachias,Malachias,44-Malachias.txt,4082924,4095321
45,1_Machabees,1. Machabees,45-1_Machabees.txt,4095321,4233694
46,2_Machabees,2. Machabees,46-2_Machabees.txt,4233694,4336598
47,Matthew,Matthew,47-Matthew.txt,4336598,4490949
48,Mark,Mark,48-Mark.txt,4490949,4577310
49,Luke,Luke,49-Luke.txt,4577310,4727453
50,John,John,50-John.txt,4727453,4842684
51,Acts,Acts,51-Acts.txt,4842684,4986448
52,Romans,Romans,52-Romans.txt,4986448,5056098
53,1_Corinthians,1. Corinthians,53-1_Corinthians.txt,5056098,5120330
54,2_Corinthians,2. Corinthians,54-2_Corinthians.txt,5120330,5157872
55,Galatians,Galatians,55-Galatians.txt,5157872,5178241
56,Ephesians,Ephesians,56-Ephesians.txt,5178241,5197995
57,Philippians,Philippians,57-Philippians.txt,5197995,5213141
58,Colossians,Colossians,58-Colossians.txt,5213141,5228982
59,1_Thessalonians,1. Thessalonians,59-1_Thessalonians.txt,5228982,5240967
60,2_Thessalonians,2. Thessalonians,60-2_Thessalonians.txt,5240967,5248695
61,1_Timothy,1. Timothy,61-1_Timothy.txt,5248695,5265116
62,2_Timothy,2. Timothy,62-2_Timothy.txt,5265116,5276356
63,Titus,Titus,63-Titus.txt,5276356,5282971
64,Philemon,Philemon,64-Philemon.txt,5282971,5286316
65,Hebrews,Hebrews,65-Hebrews.txt,5286316,5333368
66,James,James,66-James.txt,5333368,5350024
67,1_Peter,1. Peter,67-1_Peter.txt,5350024,5366445
68,2_Peter,2. Peter,68-2_Peter.txt,5366445,5377431
69,1_John,1. John,69-1_John.txt,5377431,5400389
70,2_John,2. John,70-2_John.txt,5400389,5403432
71,3_John,3. John,71-3_John.txt,5403432,5405889
72,Jude,Jude,72-Jude.txt,5405889,5413416
73,Apocalypse,Apocalypse,73-Apocalypse.txt,5413416,5492622
