order,short_name,display_name,filename,byte_start,byte_end
1,Genesis,Genesis,01-Genesis.html,0,0
2,Exodus,Exodus,02-Exodus.html,0,0
3,Leviticus,Leviticus,03-Leviticus.html,0,0
4,Numbers,Numbers,04-Numbers.html,0,0
5,Deuteronomy,Deuteronomy,05-Deuteronomy.html,0,0
6,Joshua,Joshua,06-Joshua.html,0,0
7,Judges,Judges,07-Judges.html,0,0
8,Ruth,Ruth,08-Ruth.html,0,0
9,1_Samuel,1 Samuel,09-1_Samuel.html,0,0
10,2_Samuel,2 Samuel,10-2_Samuel.html,0,0
11,1_Kings,1 Kings,11-1_Kings.html,0,0
12,2_Kings,2 Kings,12-2_Kings.html,0,0
13,1_Chronicles,1 Chronicles,13-1_Chronicles.html,0,0
14,2_Chronicles,2 Chronicles,14-2_Chronicles.html,0,0
15,Ezra,Ezra,15-Ezra.html,0,0
16,Nehemiah,Nehemiah,16-Nehemiah.html,0,0
17,Esther,Esther,17-Esther.html,0,0
18,Job,Job,18-Job.html,0,0
19,Psalms,Psalms,19-Psalms.html,0,0
20,Proverbs,Proverbs,20-Proverbs.html,0,0
21,Ecclesiastes,Ecclesiastes,21-Ecclesiastes.html,0,0
22,Song_of_Solomon,Song of Solomon,22-Song_of_Solomon.html,0,0
23,Isaiah,Isaiah,23-Isaiah.html,0,0
24,Jeremiah,Jeremiah,24-Jeremiah.html,0,0
25,Lamentations,Lamentations,25-Lamentations.html,0,0
26,Ezekiel,Ezekiel,26-Ezekiel.html,0,0
27,Daniel,Daniel,27-Daniel.html,0,0
28,Hosea,Hosea,28-Hosea.html,0,0
29,Joel,Joel,29-Joel.html,0,0
30,Amos,Amos,30-Amos.html,0,0
31,Obadiah,Obadiah,31-Obadiah.html,0,0
32,Jonah,Jonah,32-Jonah.html,0,0
33,Micah,Micah,33-Micah.html,0,0
34,Nahum,Nahum,34-Nahum.html,0,0
35,Habakkuk,Habakkuk,35-Habakkuk.html,0,0
36,Zephaniah,Zephaniah,36-Zephaniah.html,0,0
37,Haggai,Haggai,37-Haggai.html,0,0
38,Zechariah,Zechariah,38-Zechariah.html,0,0
39,Malachi,Malachi,39-Malachi.html,0,0
40,Baruch,Baruch,40-Baruch.html,0,0
41,Sirach,Sirach,41-Sirach.html,0,0
42,1_Esdras,1 Esdras,42-1_Esdras.html,0,0
43,2_Esdras,2 Esdras,43-2_Esdras.html,0,0
44,Judith,Judith,44-Judith.html,0,0
45,1_Maccabees,1 Maccabees,45-1_Maccabees.html,0,0
46,2_Maccabees,2 Maccabees,46-2_Maccabees.html,0,0
47,Prayer_of_Manasseh,Prayer of Manasseh,47-Prayer_of_Manasseh.html,0,0
48,Psalm_151,Psalm 151,48-Psalm_151.html,0,0
49,Tobit,Tobit,49-Tobit.html,0,0
50,Wisdom,Wisdom,50-Wisdom.html,0,0
51,Matthew,Matthew,51-Matthew.html,0,0
52,Mark,Mark,52-Mark.html,0,0
53,Luke,Luke,53-Luke.html,0,0
54,John,John,54-John.html,0,0
55,Acts,Acts,55-Acts.html,0,0
56,Romans,Romans,56-Romans.html,0,0
57,1_Corinthians,1 Corinthians,57-1_Corinthians.html,0,0
58,2_Corinthians,2 Corinthians,58-2_Corinthians.html,0,0
59,Galatians,Galatians,59-Galatians.html,0,0
60,Ephesians,Ephesians,60-Ephesians.html,0,0
61,Philippians,Philippians,61-Philippians.html,0,0
62,Colossians,Colossians,62-Colossians.html,0,0
63,1_Thessalonians,1 Thessalonians,63-1_Thessalonians.html,0,0
64,2_Thessalonians,2 Thessalonians,64-2_Thessalonians.html,0,0
65,1_Timothy,1 Timothy,65-1_Timothy.html,0,0
66,2_Timothy,2 Timothy,66-2_Timothy.html,0,0
67,Titus,Titus,67-Titus.html,0,0
68,Philemon,Philemon,68-Philemon.html,0,0
69,Hebrews,Hebrews,69-Hebrews.html,0,0
70,James,James,70-James.html,0,0
71,1_Peter,1 Peter,71-1_Peter.html,0,0
72,2_Peter,2 Peter,72-2_Peter.html,0,0
73,1_John,1 John,73-1_John.html,0,0
74,2_John,2 John,74-2_John.html,0,0
75,3_John,3 John,75-3_John.html,0,0
76,Jude,Jude,76-Jude.html,0,0
77,Revelation,Revelation,77-Revelation.html,0,0
